topic,question_en,question_hi,option1_en,option1_hi,option2_en,option2_hi,option3_en,option3_hi,option4_en,option4_hi,correct,explanation_en,explanation_hi,exam_type_year
Mathematics,"A teacher asks students to find 25% of ₹240 mentally and explain their methods. Riya says 25% means one-fourth, so she calculates 240 ÷ 4. Which response best supports mathematical pedagogy?","एक शिक्षक विद्यार्थियों से ₹240 का 25% मानसिक रूप से ज्ञात करने और अपनी विधि समझाने को कहता है। रिया कहती है कि 25% का अर्थ एक-चौथाई है, इसलिए वह 240 ÷ 4 करती है। कौन-सी प्रतिक्रिया गणितीय शिक्षाशास्त्र को सबसे बेहतर समर्थन देती है?",Give the answer directly and move to the next exercise.,सीधा उत्तर बताकर अगले अभ्यास पर चले जाना।,Tell students that mental methods are less reliable than written methods.,विद्यार्थियों से कहना कि मानसिक विधियाँ लिखित विधियों से कम विश्वसनीय हैं।,Ask Riya to use only the standard percentage algorithm.,रिया से केवल मानक प्रतिशत विधि का प्रयोग करने को कहना।,Ask Riya to explain why 25% is equivalent to 1/4 and compare her method with others.,रिया से समझाने को कहना कि 25% और 1/4 बराबर क्यों हैं तथा उसकी विधि की अन्य विधियों से तुलना करना।,4,"25% = 25/100 = 1/4, so 240 ÷ 4 = ₹60; discussing the reasoning develops conceptual understanding.","25% = 25/100 = 1/4, इसलिए 240 ÷ 4 = ₹60; तर्क पर चर्चा अवधारणात्मक समझ विकसित करती है।",
Mathematics,A student writes 3/5 + 1/2 = 4/7. What is the most appropriate first step for the teacher?,एक विद्यार्थी लिखता है 3/5 + 1/2 = 4/7। शिक्षक का सबसे उपयुक्त पहला कदम क्या होना चाहिए?,Mark it wrong and immediately give the correct answer.,इसे गलत चिह्नित करके तुरंत सही उत्तर बता देना।,Ask the student to explain how the numerators and denominators were combined.,विद्यार्थी से पूछना कि उसने अंशों और हरों को किस प्रकार जोड़ा।,Teach only the rule for finding the LCM.,केवल LCM ज्ञात करने का नियम सिखाना।,Give ten similar questions for practice.,अभ्यास के लिए ऐसे ही दस प्रश्न देना।,2,The response reveals the student's misconception and allows the teacher to identify the reasoning behind adding unlike fractions.,यह प्रतिक्रिया विद्यार्थी की भ्रांति को सामने लाती है और शिक्षक को असमान हर वाले भिन्नों को जोड़ने के पीछे का तर्क पहचानने देती है।,
Mathematics,A rectangular garden is 18 m long and 12 m wide. A path 1 m wide is made inside along all four sides. What is the area of the remaining garden?,एक आयताकार बगीचा 18 m लंबा और 12 m चौड़ा है। चारों ओर अंदर की तरफ 1 m चौड़ा रास्ता बनाया गया है। बचे हुए बगीचे का क्षेत्रफल कितना है?,176 m²,176 m²,168 m²,168 m²,160 m²,160 m²,180 m²,180 m²,3,"The inner dimensions are 18 - 2 = 16 m and 12 - 2 = 10 m, so the remaining area is 16 × 10 = 160 m².","अंदर की लंबाई 18 - 2 = 16 m और चौड़ाई 12 - 2 = 10 m है, इसलिए बचा क्षेत्रफल 16 × 10 = 160 m² है।",
Mathematics,A teacher gives 2.5 + 1.75 and asks students to estimate before calculating. Which estimate is most reasonable?,एक शिक्षक 2.5 + 1.75 देता है और गणना से पहले विद्यार्थियों से अनुमान लगाने को कहता है। सबसे उचित अनुमान कौन-सा है?,About 3,लगभग 3,About 4,लगभग 4,About 6,लगभग 6,About 5,लगभग 5,2,"2.5 + 1.75 = 4.25, so an estimate of about 4 is reasonable and encourages number sense.","2.5 + 1.75 = 4.25, इसलिए लगभग 4 का अनुमान उचित है और संख्या बोध को बढ़ावा देता है।",
Mathematics,A student says that 0.4 is greater than 0.35 because 4 is greater than 35. Which intervention is most suitable?,"एक विद्यार्थी कहता है कि 0.4, 0.35 से बड़ा है क्योंकि 4, 35 से बड़ा है। कौन-सा हस्तक्षेप सबसे उपयुक्त है?",Ask the student to compare only the numerators.,विद्यार्थी से केवल अंशों की तुलना करने को कहना।,Tell the student that decimals cannot be compared directly.,विद्यार्थी से कहना कि दशमलवों की सीधे तुलना नहीं की जा सकती।,Use place-value representation and rewrite 0.4 as 0.40.,स्थान-मूल्य निरूपण का प्रयोग करके 0.4 को 0.40 के रूप में लिखना।,Tell the student to memorize decimal rules.,विद्यार्थी से दशमलव के नियम याद करने को कहना।,3,"Writing 0.4 as 0.40 makes the place values comparable: 0.40 > 0.35, directly addressing the misconception.","0.4 को 0.40 लिखने पर स्थान-मूल्यों की तुलना स्पष्ट होती है: 0.40 > 0.35, जिससे भ्रांति सीधे दूर होती है।",
Mathematics,A shop gives a 15% discount on a school bag marked ₹800. What is the selling price after discount?,एक दुकान ₹800 अंकित मूल्य वाले स्कूल बैग पर 15% की छूट देती है। छूट के बाद विक्रय मूल्य कितना होगा?,₹720,₹720,₹700,₹700,₹685,₹685,₹680,₹680,4,Discount = 15% of ₹800 = ₹120; selling price = ₹800 - ₹120 = ₹680.,छूट = ₹800 का 15% = ₹120; विक्रय मूल्य = ₹800 - ₹120 = ₹680।,
Mathematics,"Books read in a month: Amit 12, Binu 18, Chetan 9, Divya 15, Esha 6. What is the median number of books?","एक महीने में पढ़ी गई पुस्तकें: Amit 12, Binu 18, Chetan 9, Divya 15, Esha 6। पुस्तकों की माध्यिका कितनी है?",18,18,15,15,12,12,9,9,3,"Arrange the data as 6, 9, 12, 15, 18. The middle value is 12.","आँकड़ों को 6, 9, 12, 15, 18 के क्रम में रखने पर बीच का मान 12 है।",
Mathematics,A student identifies a square only when it is drawn with horizontal and vertical sides. The teacher then shows a rotated square. Which Van Hiele level is the student most likely working at?,एक विद्यार्थी वर्ग को तभी पहचानता है जब उसकी भुजाएँ क्षैतिज और ऊर्ध्वाधर हों। शिक्षक फिर घुमाया हुआ वर्ग दिखाता है। विद्यार्थी संभवतः Van Hiele के किस स्तर पर कार्य कर रहा है?,Informal deduction,अनौपचारिक निगमन (Informal deduction),Formal deduction,औपचारिक निगमन (Formal deduction),Analysis,विश्लेषण (Analysis),Visualization,दृश्यीकरण (Visualization),4,"At the visualization level, figures are recognized mainly by their overall appearance rather than by defining properties.","दृश्यीकरण स्तर पर आकृतियों को मुख्यतः उनके समग्र रूप से पहचाना जाता है, न कि उनके परिभाषात्मक गुणों से।",
Mathematics,A teacher asks children to make different rectangles with 24 square tiles and compare their perimeters. What mathematical idea is primarily developed?,एक शिक्षक बच्चों से 24 वर्गाकार टाइलों से अलग-अलग आयत बनाने और उनकी परिमापों की तुलना करने को कहता है। इससे मुख्यतः कौन-सा गणितीय विचार विकसित होता है?,Only angle measurement,केवल कोण मापन,Only multiplication tables,केवल गुणन सारणियाँ,Only symmetry,केवल सममिति,Relationship between area and perimeter,क्षेत्रफल और परिमाप के बीच संबंध,4,"Different rectangles can have the same area but different perimeters, helping students distinguish and relate the two concepts.","अलग-अलग आयतों का क्षेत्रफल समान लेकिन परिमाप अलग हो सकता है, जिससे विद्यार्थी दोनों अवधारणाओं में अंतर और संबंध समझते हैं।",
Mathematics,"Under the NCF approach to mathematics education, which classroom practice is most desirable?",गणित शिक्षा के NCF दृष्टिकोण के अनुसार कौन-सी कक्षा-प्रथा सबसे अधिक वांछनीय है?,Using only textbook examples,केवल पाठ्यपुस्तक के उदाहरणों का प्रयोग करना,"Encouraging students to explore, reason, communicate and mathematize situations","विद्यार्थियों को परिस्थितियों का अन्वेषण, तर्क, संप्रेषण और गणितीकरण करने के लिए प्रोत्साहित करना",Avoiding multiple solution strategies,विभिन्न समाधान विधियों से बचना,Emphasizing memorization of formulas over reasoning,तर्क की अपेक्षा सूत्रों को याद करने पर जोर देना,2,"The NCF emphasizes meaningful mathematical learning through reasoning, problem solving, communication and mathematization rather than rote memorization.","NCF रटने के बजाय तर्क, समस्या-समाधान, संप्रेषण और परिस्थितियों के गणितीकरण द्वारा अर्थपूर्ण गणितीय अधिगम पर जोर देता है।",
