topic,question_en,question_hi,option1_en,option1_hi,option2_en,option2_hi,option3_en,option3_hi,option4_en,option4_hi,correct,explanation_en,explanation_hi,exam_type_year
English,Choose the correct sentence:,Choose the correct sentence:,She had lived here since five years.,She had lived here since five years.,She is living here since five years.,She is living here since five years.,She has been living here for five years.,She has been living here for five years.,She has been living here since five years.,She has been living here since five years.,3,"The preposition 'for' is used with a period of time, while 'since' is used with a point of time.","The preposition 'for' is used with a period of time, while 'since' is used with a point of time.",
English,Choose the correct passive form of: 'The teacher praised the student.',Choose the correct passive form of: 'The teacher praised the student.',The student had been praised by the teacher.,The student had been praised by the teacher.,The student has been praised by the teacher.,The student has been praised by the teacher.,The student was praised by the teacher.,The student was praised by the teacher.,The student is praised by the teacher.,The student is praised by the teacher.,3,"The active sentence is in the simple past, so the passive form uses 'was + past participle': 'was praised'.","The active sentence is in the simple past, so the passive form uses 'was + past participle': 'was praised'.",
English,"Change into indirect speech: Ravi said, 'I am tired.'","Change into indirect speech: Ravi said, 'I am tired.'",Ravi said that he was tired.,Ravi said that he was tired.,Ravi said that he had tired.,Ravi said that he had tired.,Ravi said that I am tired.,Ravi said that I am tired.,Ravi said that he is tired.,Ravi said that he is tired.,1,"In reported speech, 'I' changes to 'he' and present continuous becomes past continuous after a past reporting verb.","In reported speech, 'I' changes to 'he' and present continuous becomes past continuous after a past reporting verb.",
English,Choose the correct articles: 'He is ___ honest man and ___ useful employee.',Choose the correct articles: 'He is ___ honest man and ___ useful employee.',"a, an","a, an","an, a","an, a","an, an","an, an","a, a","a, a",2,"'Honest' begins with a vowel sound, so it takes 'an'; 'useful' begins with the consonant sound /ju:/, so it takes 'a'.","'Honest' begins with a vowel sound, so it takes 'an'; 'useful' begins with the consonant sound /ju:/, so it takes 'a'.",
English,Choose the correct preposition: 'She is good ___ mathematics.',Choose the correct preposition: 'She is good ___ mathematics.',with,with,on,on,in,in,at,at,4,The standard collocation is 'good at' when referring to ability or skill in a subject.,The standard collocation is 'good at' when referring to ability or skill in a subject.,
English,Choose the word that is closest in meaning to 'Abundant'.,Choose the word that is closest in meaning to 'Abundant'.,Rare,Rare,Plentiful,Plentiful,Limited,Limited,Scarce,Scarce,2,"'Abundant' means available in large quantities, so 'plentiful' is the closest synonym.","'Abundant' means available in large quantities, so 'plentiful' is the closest synonym.",
English,Choose the word opposite in meaning to 'Transparent'.,Choose the word opposite in meaning to 'Transparent'.,Visible,Visible,Clear,Clear,Opaque,Opaque,Bright,Bright,3,"'Opaque' describes something that does not allow light to pass through, making it the opposite of 'transparent'.","'Opaque' describes something that does not allow light to pass through, making it the opposite of 'transparent'.",
English,Choose the one-word substitution for 'A person who cannot read or write'.,Choose the one-word substitution for 'A person who cannot read or write'.,Orator,Orator,Immigrant,Immigrant,Illiterate,Illiterate,Scholar,Scholar,3,A person who cannot read or write is described as 'illiterate'.,A person who cannot read or write is described as 'illiterate'.,
English,What does the idiom 'spill the beans' mean?,What does the idiom 'spill the beans' mean?,To make a mistake,To make a mistake,To reveal a secret,To reveal a secret,To become angry,To become angry,To waste food,To waste food,2,The idiom 'spill the beans' means to disclose or reveal secret information.,The idiom 'spill the beans' means to disclose or reveal secret information.,
English,"Read the passage and answer the question. 'Trees are essential for a healthy environment. They absorb carbon dioxide and release oxygen. Their roots also help prevent soil erosion. Therefore, protecting trees is important for both people and nature.' What is the main idea of the passage?","Read the passage and answer the question. 'Trees are essential for a healthy environment. They absorb carbon dioxide and release oxygen. Their roots also help prevent soil erosion. Therefore, protecting trees is important for both people and nature.' What is the main idea of the passage?",Trees mainly prevent floods.,Trees mainly prevent floods.,People should plant trees only for oxygen.,People should plant trees only for oxygen.,Trees provide important environmental benefits and should be protected.,Trees provide important environmental benefits and should be protected.,Trees grow only in forests.,Trees grow only in forests.,3,The passage highlights several environmental benefits of trees and concludes that they should be protected.,The passage highlights several environmental benefits of trees and concludes that they should be protected.,
English,"Read the passage and answer the question. 'Trees are essential for a healthy environment. They absorb carbon dioxide and release oxygen. Their roots also help prevent soil erosion. Therefore, protecting trees is important for both people and nature.' According to the passage, what do tree roots help prevent?","Read the passage and answer the question. 'Trees are essential for a healthy environment. They absorb carbon dioxide and release oxygen. Their roots also help prevent soil erosion. Therefore, protecting trees is important for both people and nature.' According to the passage, what do tree roots help prevent?",Noise pollution,Noise pollution,Water evaporation,Water evaporation,Air pollution,Air pollution,Soil erosion,Soil erosion,4,The passage directly states that tree roots help prevent soil erosion.,The passage directly states that tree roots help prevent soil erosion.,
English,Which approach gives learners the greatest opportunity to use English meaningfully in real-life communication?,Which approach gives learners the greatest opportunity to use English meaningfully in real-life communication?,Grammar-Translation Method,Grammar-Translation Method,Silent Reading Method,Silent Reading Method,Dictation Method,Dictation Method,Communicative Language Teaching,Communicative Language Teaching,4,Communicative Language Teaching emphasizes meaningful interaction and functional use of language in real-life situations.,Communicative Language Teaching emphasizes meaningful interaction and functional use of language in real-life situations.,
English,Which sequence represents the four major language skills in the commonly accepted receptive-to-productive grouping?,Which sequence represents the four major language skills in the commonly accepted receptive-to-productive grouping?,Speaking and Listening; Writing and Reading,Speaking and Listening; Writing and Reading,Writing and Listening; Reading and Speaking,Writing and Listening; Reading and Speaking,Reading and Speaking; Listening and Writing,Reading and Speaking; Listening and Writing,Listening and Reading; Speaking and Writing,Listening and Reading; Speaking and Writing,4,"Listening and reading are receptive skills, while speaking and writing are productive skills.","Listening and reading are receptive skills, while speaking and writing are productive skills.",
