S.No.,Subject,Topic
1,General Awareness,"Indian Constitution, Polity, Governance and Delhi General Knowledge"
2,General Awareness,"Indian History, Freedom Movement and Important Historical Events"
3,General Awareness,"Indian Geography, Environment and Natural Resources"
4,General Awareness,"Science, Technology, Economy and Important Current Affairs"
5,Reasoning,"Analogy, Classification, Series and Coding-Decoding"
6,Reasoning,"Blood Relations, Direction Sense, Ranking and Logical Reasoning"
7,Numerical Ability,"Number System, Simplification, Percentage, Ratio and Average"
8,Numerical Ability,"Profit-Loss, Interest, Time-Work, Time-Distance and Data Interpretation"
9,Hindi,"हिंदी व्याकरण, शब्दावली, वाक्य शुद्धि और भाषा-बोध"
10,English,"English Grammar, Vocabulary, Error Detection and Reading Comprehension"
11,Special Education,Foundations of Special Education at the Primary Stage
12,Special Education,Inclusive Primary Classroom and Participation of Children with Disabilities
13,Special Education,"Child Development, Developmental Milestones and Individual Differences"
14,Special Education,Early Childhood Development and Early Intervention
15,Special Education,Specific Learning Disability: Early Signs and Classroom Support
16,Special Education,Intellectual Disability: Learning Needs and Primary-Level Support
17,Special Education,Autism Spectrum Disorder: Early Identification and Classroom Strategies
18,Special Education,Visual Impairment: Braille and Accessible Primary Learning
19,Special Education,Hearing Impairment: Communication and Primary Classroom Strategies
20,Special Education,Locomotor Disability and Cerebral Palsy in Primary Education
21,Special Education,Multiple Disabilities: Educational Needs and Support Planning
22,Special Education,Speech and Language Difficulties in Young Learners
23,Special Education,"Behaviour, Attention and Emotional Difficulties in Primary Children"
24,Special Education,"Screening, Assessment and Early Identification of Learning Needs"
25,Special Education,Individualized Education Programme (IEP) for Primary Children
26,Special Education,"Functional Academics: Reading, Writing and Numeracy"
27,Special Education,Remedial Teaching for Foundational Literacy and Numeracy
28,Special Education,Multisensory Teaching and Structured Learning
29,Special Education,Assistive Technology and Accessible Learning Materials
30,Special Education,Augmentative and Alternative Communication (AAC)
31,Special Education,Universal Design for Learning in Primary Classrooms
32,Special Education,Differentiated Instruction and Individualized Classroom Support
33,Special Education,"Curriculum Adaptation, Modification and Functional Curriculum"
34,Special Education,"Barrier-Free School, Accessibility and Reasonable Accommodation"
35,Special Education,"Family Collaboration, Parent Counselling and Home-School Partnership"
36,Special Education,"Peer Support, Cooperative Learning and Social Inclusion"
37,Special Education,Rights of Persons with Disabilities and Educational Entitlements
38,Special Education,"RCI Framework, Professional Practice and Ethical Responsibilities"
39,Special Education,Primary-Level Teaching Methodology and Lesson Planning
40,Special Education,Activity-Based and Play-Based Learning for Diverse Learners
41,Special Education,Foundational Literacy and Numeracy Support for Children with Disabilities
42,Special Education,"Communication, Language Development and Classroom Interaction"
43,Special Education,Positive Behaviour Support and Classroom Management
44,Special Education,"Life Skills, Self-Care and Functional Independence"
45,Special Education,"Assessment Adaptations, Observation and Continuous Progress Monitoring"
46,Special Education,Case-Based Intervention Planning and Individual Support
47,Special Education,Multidisciplinary Teamwork and School-Based Support
