S.No.,Subject,Topic
1,General Awareness,"Indian Constitution, Polity, Governance and Delhi General Knowledge"
2,General Awareness,"Indian History, Freedom Movement and Important Historical Events"
3,General Awareness,"Indian Geography, Environment and Natural Resources"
4,General Awareness,"Science, Technology, Economy and Important Current Affairs"
5,Reasoning,"Analogy, Classification, Series and Coding-Decoding"
6,Reasoning,"Blood Relations, Direction Sense, Ranking and Logical Reasoning"
7,Numerical Ability,"Number System, Simplification, Percentage, Ratio and Average"
8,Numerical Ability,"Profit-Loss, Interest, Time-Work, Time-Distance and Data Interpretation"
9,Hindi,"हिंदी व्याकरण, शब्दावली, वाक्य शुद्धि और भाषा-बोध"
10,English,"English Grammar, Vocabulary, Error Detection and Reading Comprehension"
11,Domestic Science,"Food and Nutrition: Nutrients, Functions and Food Sources"
12,Domestic Science,Balanced Diet and Meal Planning
13,Domestic Science,"Carbohydrates, Proteins, Fats and Energy Requirements"
14,Domestic Science,"Vitamins, Minerals, Water and Deficiency Diseases"
15,Domestic Science,Nutrition Through Different Stages of Life
16,Domestic Science,"Food Preservation, Storage and Spoilage"
17,Domestic Science,"Food Safety, Hygiene, Adulteration and Food-Borne Diseases"
18,Domestic Science,Methods of Cooking and Changes in Food During Cooking
19,Domestic Science,"Kitchen Planning, Equipment, Fuel and Safe Food Preparation"
20,Domestic Science,Human Development and Major Stages of Growth
21,Domestic Science,"Child Development, Developmental Needs and Milestones"
22,Domestic Science,"Adolescent Development, Health and Nutritional Needs"
23,Domestic Science,"Family Relationships, Roles and Family Well-Being"
24,Domestic Science,Family Resource Management and Decision-Making
25,Domestic Science,"Time Management, Energy Management and Work Simplification"
26,Domestic Science,"Household Budget, Income, Expenditure and Financial Planning"
27,Domestic Science,"Consumer Education, Consumer Rights and Smart Buying"
28,Domestic Science,Textile Fibres: Natural and Man-Made Fibres
29,Domestic Science,"Yarn, Fabric Construction, Weaves and Knits"
30,Domestic Science,"Dyes, Textile Finishes and Colourfastness"
31,Domestic Science,"Laundry, Stain Removal, Washing and Textile Care"
32,Domestic Science,"Clothing Construction, Measurements, Seams and Finishing"
33,Domestic Science,"Clothing Selection According to Age, Climate, Body Type and Occasion"
34,Domestic Science,"Principles of Design, Colour, Line, Form and Texture"
35,Domestic Science,Interior Decoration and Space Planning
36,Domestic Science,"Housing, Ventilation, Lighting, Sanitation and Safety"
37,Domestic Science,"Household Equipment: Selection, Use and Maintenance"
38,Domestic Science,"Personal Hygiene, Community Health and Healthy Home Practices"
39,Domestic Science,Maternal and Child Nutrition and Care
40,Domestic Science,Community Nutrition and Nutrition Education
41,Domestic Science,"Home Science Practical Work, Demonstration and Laboratory Safety"
42,Domestic Science,Home Science Teaching Methods and Activity-Based Learning
43,Domestic Science,"Lesson Planning, Practical Teaching and Experiential Learning"
44,Domestic Science,"Assessment, Practical Evaluation and Competency-Based Learning"
45,Domestic Science,"Sustainable Living, Waste Management and Resource Conservation"
