topic,question_en,question_hi,option1_en,option1_hi,option2_en,option2_hi,option3_en,option3_hi,option4_en,option4_hi,correct,explanation_en,explanation_hi,exam_type_year
Hindi,बच्चों में भाषा सीखने की जन्मजात क्षमता होती है। यह विचार किसका है?,बच्चों में भाषा सीखने की जन्मजात क्षमता होती है। यह विचार किसका है?,स्किनर,स्किनर,वाइगोत्स्की,वाइगोत्स्की,पियाजे,पियाजे,चॉम्स्की,चॉम्स्की,3,"नोम चॉम्स्की के अनुसार, बच्चों में भाषा अर्जन की जन्मजात क्षमता (LAD) होती है।","नोम चॉम्स्की के अनुसार, बच्चों में भाषा अर्जन की जन्मजात क्षमता (LAD) होती है।",CTET2022
Hindi,वाइगोत्स्की के अनुसार भाषा सीखने में सबसे अधिक महत्वपूर्ण क्या है?,वाइगोत्स्की के अनुसार भाषा सीखने में सबसे अधिक महत्वपूर्ण क्या है?,रेडियो,रेडियो,आनुवंशिकता,आनुवंशिकता,सामाजिक अंतःक्रिया,सामाजिक अंतःक्रिया,पाठ्यपुस्तक,पाठ्यपुस्तक,2,लेव वाइगोत्स्की का मानना था कि बच्चे सामाजिक अंतःक्रिया के माध्यम से भाषा सीखते हैं।,लेव वाइगोत्स्की का मानना था कि बच्चे सामाजिक अंतःक्रिया के माध्यम से भाषा सीखते हैं।,CTET2025
Hindi,भाषा अर्जन (Language Acquisition) के संबंध में कौन-सा कथन सत्य है?,भाषा अर्जन (Language Acquisition) के संबंध में कौन-सा कथन सत्य है?,यह स्वाभाविक और अवचेतन प्रक्रिया है।,यह स्वाभाविक और अवचेतन प्रक्रिया है।,यह एक सचेतन प्रक्रिया है।,यह एक सचेतन प्रक्रिया है।,व्याकरण के नियमों की आवश्यकता होती है।,व्याकरण के नियमों की आवश्यकता होती है।,यह केवल विद्यालय में होता है।,यह केवल विद्यालय में होता है।,0,"भाषा अर्जन मातृभाषा की तरह एक स्वाभाविक और अवचेतन प्रक्रिया है, जिसके लिए औपचारिक नियमों की आवश्यकता नहीं होती।","भाषा अर्जन मातृभाषा की तरह एक स्वाभाविक और अवचेतन प्रक्रिया है, जिसके लिए औपचारिक नियमों की आवश्यकता नहीं होती।",CTET2022
Hindi,भाषा अनुकरण और पुनर्बलन के माध्यम से सीखी जाती है। यह कथन किस मनोवैज्ञानिक का है?,भाषा अनुकरण और पुनर्बलन के माध्यम से सीखी जाती है। यह कथन किस मनोवैज्ञानिक का है?,जीन पियाजे,जीन पियाजे,नोम चॉम्स्की,नोम चॉम्स्की,स्टीफन क्रैशन,स्टीफन क्रैशन,बी.एफ. स्किनर,बी.एफ. स्किनर,3,"स्किनर के व्यवहारवादी सिद्धांत के अनुसार, बच्चे अनुकरण और पुनर्बलन के माध्यम से भाषा सीखते हैं।","स्किनर के व्यवहारवादी सिद्धांत के अनुसार, बच्चे अनुकरण और पुनर्बलन के माध्यम से भाषा सीखते हैं।",CTET2023
Hindi,किस मनोवैज्ञानिक ने 'अहंकेंद्रित भाषा' (Egocentric speech) की अवधारणा दी है?,किस मनोवैज्ञानिक ने 'अहंकेंद्रित भाषा' (Egocentric speech) की अवधारणा दी है?,जीन पियाजे,जीन पियाजे,पावलोव,पावलोव,ब्रूनर,ब्रूनर,स्किनर,स्किनर,0,जीन पियाजे ने बच्चों द्वारा खुद से बात करने को 'अहंकेंद्रित भाषा' कहा है।,जीन पियाजे ने बच्चों द्वारा खुद से बात करने को 'अहंकेंद्रित भाषा' कहा है।,CTET2023
Hindi,"क्रैशन के अनुसार, कौन-सा सिद्धांत बताता है कि शिक्षार्थी वर्तमान स्तर से थोड़ा ऊपर के इनपुट से सीखते हैं?","क्रैशन के अनुसार, कौन-सा सिद्धांत बताता है कि शिक्षार्थी वर्तमान स्तर से थोड़ा ऊपर के इनपुट से सीखते हैं?",मॉनिटर परिकल्पना,मॉनिटर परिकल्पना,प्राकृतिक क्रम परिकल्पना,प्राकृतिक क्रम परिकल्पना,भावात्मक फिल्टर परिकल्पना,भावात्मक फिल्टर परिकल्पना,इनपुट परिकल्पना (i+1),इनपुट परिकल्पना (i+1),3,"क्रैशन की 'बोधगम्य इनपुट' (i+1) परिकल्पना के अनुसार, शिक्षार्थी अपने वर्तमान भाषा स्तर से एक स्तर ऊपर के इनपुट से सीखते हैं।","क्रैशन की 'बोधगम्य इनपुट' (i+1) परिकल्पना के अनुसार, शिक्षार्थी अपने वर्तमान भाषा स्तर से एक स्तर ऊपर के इनपुट से सीखते हैं।",CTET2022
Hindi,भाषा विकास की किस अवस्था में बच्चा 'बबलाना' (Babbling) शुरू करता है?,भाषा विकास की किस अवस्था में बच्चा 'बबलाना' (Babbling) शुरू करता है?,12 से 18 महीने,12 से 18 महीने,2 से 3 वर्ष,2 से 3 वर्ष,जन्म से 2 महीने,जन्म से 2 महीने,6 से 8 महीने,6 से 8 महीने,3,"लगभग 6 से 8 महीने की आयु में बच्चे बबलाना (जैसे- बा-बा, दा-दा) शुरू कर देते हैं।","लगभग 6 से 8 महीने की आयु में बच्चे बबलाना (जैसे- बा-बा, दा-दा) शुरू कर देते हैं।",
Hindi,प्राथमिक स्तर पर बहुभाषिकता को किस रूप में देखा जाना चाहिए?,प्राथमिक स्तर पर बहुभाषिकता को किस रूप में देखा जाना चाहिए?,शिक्षण में चुनौती के रूप में,शिक्षण में चुनौती के रूप में,एक बाधा के रूप में,एक बाधा के रूप में,एक समस्या के रूप में,एक समस्या के रूप में,एक संसाधन के रूप में,एक संसाधन के रूप में,3,कक्षा में बहुभाषिकता एक महत्वपूर्ण संसाधन है जो बच्चों के संज्ञानात्मक विकास में सहायता करती है।,कक्षा में बहुभाषिकता एक महत्वपूर्ण संसाधन है जो बच्चों के संज्ञानात्मक विकास में सहायता करती है।,CTET2024
Hindi,भाषा अधिगम के लिए सबसे महत्वपूर्ण कारक कौन-सा है?,भाषा अधिगम के लिए सबसे महत्वपूर्ण कारक कौन-सा है?,समृद्ध भाषिक परिवेश,समृद्ध भाषिक परिवेश,अत्यधिक गृहकार्य,अत्यधिक गृहकार्य,कठोर अनुशासन,कठोर अनुशासन,व्याकरण की रटंत विद्या,व्याकरण की रटंत विद्या,0,एक समृद्ध भाषिक परिवेश भाषा अधिगम को स्वाभाविक और प्रभावी बनाता है।,एक समृद्ध भाषिक परिवेश भाषा अधिगम को स्वाभाविक और प्रभावी बनाता है।,CTET2025
Hindi,वाइगोत्स्की द्वारा प्रतिपादित 'निजी भाषण' (Private speech) क्या दर्शाता है?,वाइगोत्स्की द्वारा प्रतिपादित 'निजी भाषण' (Private speech) क्या दर्शाता है?,यह संज्ञानात्मक अपरिपक्वता है।,यह संज्ञानात्मक अपरिपक्वता है।,बच्चे ध्यान आकर्षित करना चाहते हैं।,बच्चे ध्यान आकर्षित करना चाहते हैं।,बच्चे स्वयं को निर्देशित करने के लिए भाषा का उपयोग करते हैं।,बच्चे स्वयं को निर्देशित करने के लिए भाषा का उपयोग करते हैं।,बच्चे आत्मकेंद्रित होते हैं।,बच्चे आत्मकेंद्रित होते हैं।,2,"वाइगोत्स्की के अनुसार, बच्चे स्वयं को निर्देशित करने और अपनी सोच को विनियमित करने के लिए निजी भाषण का उपयोग करते हैं।","वाइगोत्स्की के अनुसार, बच्चे स्वयं को निर्देशित करने और अपनी सोच को विनियमित करने के लिए निजी भाषण का उपयोग करते हैं।",CTET2025
