topic,question_en,question_hi,option1_en,option1_hi,option2_en,option2_hi,option3_en,option3_hi,option4_en,option4_hi,correct,explanation_en,explanation_hi,exam_type_year
English,She _______ in this school since 2015.,She _______ in this school since 2015.,taught,taught,is teaching,is teaching,had taught,had taught,has been teaching,has been teaching,4,"The present perfect continuous tense ""has been teaching"" is used to describe an action that started in the past (""since 2015"") and continues into the present.","The present perfect continuous tense ""has been teaching"" is used to describe an action that started in the past (""since 2015"") and continues into the present.",
English,The teacher praised the student. (Change to passive voice),The teacher praised the student. (Change to passive voice),The student is praised by the teacher.,The student is praised by the teacher.,The student has been praised by the teacher.,The student has been praised by the teacher.,The student had been praised by the teacher.,The student had been praised by the teacher.,The student was praised by the teacher.,The student was praised by the teacher.,4,"The active sentence is in the simple past tense, so its passive voice must use ""was/were"" followed by the past participle ""praised"".","The active sentence is in the simple past tense, so its passive voice must use ""was/were"" followed by the past participle ""praised"".",
English,"He said, 'I am going to school.' (Change to indirect speech)","He said, 'I am going to school.' (Change to indirect speech)",He said that he is going to school.,He said that he is going to school.,He said that he goes to school.,He said that he goes to school.,He said that he was going to school.,He said that he was going to school.,He said that he had been going to school.,He said that he had been going to school.,3,"When changing to indirect speech, the present continuous tense ""am going"" changes to the past continuous ""was going"" because the reporting verb ""said"" is in the past tense.","When changing to indirect speech, the present continuous tense ""am going"" changes to the past continuous ""was going"" because the reporting verb ""said"" is in the past tense.",
English,He is _______ honest man.,He is _______ honest man.,no article,no article,the,the,a,a,an,an,4,"The word ""honest"" begins with a vowel sound (a silent 'h'), so it takes the indefinite article ""an"".","The word ""honest"" begins with a vowel sound (a silent 'h'), so it takes the indefinite article ""an"".",
English,She is good _______ mathematics.,She is good _______ mathematics.,on,on,with,with,at,at,in,in,3,"The standard English idiom for expressing proficiency in a subject or skill is ""good at"".","The standard English idiom for expressing proficiency in a subject or skill is ""good at"".",
English,Select the synonym of 'abundant'.,Select the synonym of 'abundant'.,plentiful,plentiful,rare,rare,lacking,lacking,scarce,scarce,1,'Abundant' means existing in large quantities; 'plentiful' is its direct synonym.,'Abundant' means existing in large quantities; 'plentiful' is its direct synonym.,
English,Select the antonym of 'benevolent'.,Select the antonym of 'benevolent'.,malevolent,malevolent,charitable,charitable,kind,kind,generous,generous,1,"'Benevolent' means well-meaning and kind; 'malevolent' means having or showing a wish to do evil, which is the opposite.","'Benevolent' means well-meaning and kind; 'malevolent' means having or showing a wish to do evil, which is the opposite.",
English,One-word substitution: 'One who is present everywhere'.,One-word substitution: 'One who is present everywhere'.,omnivorous,omnivorous,omnipotent,omnipotent,omnipresent,omnipresent,omniscient,omniscient,3,"The prefix ""omni-"" means all, and ""present"" means being there, making ""omnipresent"" the correct term for one who is present everywhere.","The prefix ""omni-"" means all, and ""present"" means being there, making ""omnipresent"" the correct term for one who is present everywhere.",
English,What does the idiom 'break the ice' mean?,What does the idiom 'break the ice' mean?,to end a fight,to end a fight,to break something,to break something,to cool down,to cool down,to start a conversation,to start a conversation,4,"The idiom ""break the ice"" is used to describe the act of starting a conversation to relieve tension or silence in a social setting.","The idiom ""break the ice"" is used to describe the act of starting a conversation to relieve tension or silence in a social setting.",
English,"Read the passage and answer: The school library is a vital resource for students. It offers a wide range of books, from fiction to reference materials. Regular visits to the library enhance reading habits and academic performance. However, many students overlook its potential due to lack of awareness. What is the main idea of the passage?","Read the passage and answer: The school library is a vital resource for students. It offers a wide range of books, from fiction to reference materials. Regular visits to the library enhance reading habits and academic performance. However, many students overlook its potential due to lack of awareness. What is the main idea of the passage?",Fiction books are more important.,Fiction books are more important.,Libraries are only for reference books.,Libraries are only for reference books.,The library is useful but often ignored.,The library is useful but often ignored.,Students should visit the library regularly.,Students should visit the library regularly.,3,"The passage presents both the benefits of the library and the fact that it is often overlooked, making that the main idea.","The passage presents both the benefits of the library and the fact that it is often overlooked, making that the main idea.",
English,"Read the passage: The school library is a vital resource for students. It offers a wide range of books, from fiction to reference materials. Regular visits to the library enhance reading habits and academic performance. However, many students overlook its potential due to lack of awareness. According to the passage, what do regular library visits enhance?","Read the passage: The school library is a vital resource for students. It offers a wide range of books, from fiction to reference materials. Regular visits to the library enhance reading habits and academic performance. However, many students overlook its potential due to lack of awareness. According to the passage, what do regular library visits enhance?",only fiction reading,only fiction reading,reference skills,reference skills,reading habits and academic performance,reading habits and academic performance,awareness,awareness,3,The passage explicitly states that regular visits to the library enhance both reading habits and academic performance.,The passage explicitly states that regular visits to the library enhance both reading habits and academic performance.,
English,"Read the passage: The school library is a vital resource for students. It offers a wide range of books, from fiction to reference materials. Regular visits to the library enhance reading habits and academic performance. However, many students overlook its potential due to lack of awareness. What does the word 'overlook' in the passage most nearly mean?","Read the passage: The school library is a vital resource for students. It offers a wide range of books, from fiction to reference materials. Regular visits to the library enhance reading habits and academic performance. However, many students overlook its potential due to lack of awareness. What does the word 'overlook' in the passage most nearly mean?",notice,notice,ignore,ignore,appreciate,appreciate,consider,consider,2,"In this context, ""overlook"" means to fail to notice or to ignore the potential benefits of the library.","In this context, ""overlook"" means to fail to notice or to ignore the potential benefits of the library.",
English,Which language teaching approach emphasizes learning through communication and interaction?,Which language teaching approach emphasizes learning through communication and interaction?,Audio-lingual method,Audio-lingual method,Grammar-translation method,Grammar-translation method,Direct method,Direct method,Communicative approach,Communicative approach,4,The communicative approach focuses on real-life communication and interaction as the primary goals.,The communicative approach focuses on real-life communication and interaction as the primary goals.,
English,Which of the following is a receptive skill in language learning?,Which of the following is a receptive skill in language learning?,Writing,Writing,Reading,Reading,Speaking,Speaking,Grammar,Grammar,2,"Receptive skills are listening and reading; among the options, only reading is a receptive skill.","Receptive skills are listening and reading; among the options, only reading is a receptive skill.",
English,How many phonemes are there in the word 'school'?,How many phonemes are there in the word 'school'?,5,5,4,4,3,3,6,6,2,"The word ""school"" consists of four distinct sounds or phonemes: /s/, /k/, /u:/, and /l/.","The word ""school"" consists of four distinct sounds or phonemes: /s/, /k/, /u:/, and /l/.",
English,"If I had studied harder, I _______ the exam.","If I had studied harder, I _______ the exam.",will pass,will pass,would have passed,would have passed,would pass,would pass,passed,passed,2,This is a third conditional sentence; the main clause uses 'would have + past participle'.,This is a third conditional sentence; the main clause uses 'would have + past participle'.,
English,You _______ not smoke here.,You _______ not smoke here.,must,must,would,would,may,may,can,can,1,"""Must"" is used to express a strong prohibition or rule, making ""must not"" the most appropriate choice for banning smoking in a specific area.","""Must"" is used to express a strong prohibition or rule, making ""must not"" the most appropriate choice for banning smoking in a specific area.",
English,The meeting was called off. What does 'call off' mean?,The meeting was called off. What does 'call off' mean?,to attend,to attend,to start,to start,to postpone,to postpone,to cancel,to cancel,4,"The phrasal verb ""call off"" is a widely recognized idiom meaning to cancel an event or agreement.","The phrasal verb ""call off"" is a widely recognized idiom meaning to cancel an event or agreement.",
English,Neither the teacher nor the students _______ in the classroom.,Neither the teacher nor the students _______ in the classroom.,are,are,have,have,is,is,was,was,1,"When using ""neither... nor,"" the verb must agree with the subject closest to it, which in this case is the plural noun ""students"".","When using ""neither... nor,"" the verb must agree with the subject closest to it, which in this case is the plural noun ""students"".",
English,Which type of assessment is conducted during the teaching-learning process to monitor student progress?,Which type of assessment is conducted during the teaching-learning process to monitor student progress?,Formative,Formative,Placement,Placement,Diagnostic,Diagnostic,Summative,Summative,1,Formative assessment is specifically designed to be ongoing during the instructional process to monitor student learning and provide continuous feedback.,Formative assessment is specifically designed to be ongoing during the instructional process to monitor student learning and provide continuous feedback.,
English,"According to Stephen Krashen, the natural, subconscious process of picking up a language through meaningful communication, similar to how children learn their mother tongue, is called:","According to Stephen Krashen, the natural, subconscious process of picking up a language through meaningful communication, similar to how children learn their mother tongue, is called:",Language Learning,Language Learning,Language Acquisition,Language Acquisition,Language Transfer,Language Transfer,Language Testing,Language Testing,2,"Krashen defined acquisition as a subconscious process of picking up language naturally, unlike conscious learning.","Krashen defined acquisition as a subconscious process of picking up language naturally, unlike conscious learning.",
English,Which of the following best describes 'language learning' as opposed to 'language acquisition'?,Which of the following best describes 'language learning' as opposed to 'language acquisition'?,An instinctive process common to all children,An instinctive process common to all children,A conscious process involving formal instruction in grammar rules,A conscious process involving formal instruction in grammar rules,A process that occurs only before puberty,A process that occurs only before puberty,A subconscious process occurring through natural exposure,A subconscious process occurring through natural exposure,2,"According to Krashen's theory, language learning is a conscious, formal process of acquiring explicit knowledge about a language, such as its grammar rules.","According to Krashen's theory, language learning is a conscious, formal process of acquiring explicit knowledge about a language, such as its grammar rules.",
English,Teaching grammar 'in context' means:,Teaching grammar 'in context' means:,Avoiding grammar teaching altogether,Avoiding grammar teaching altogether,Testing grammar only through multiple choice questions,Testing grammar only through multiple choice questions,Presenting grammatical rules through meaningful texts and real communicative situations rather than in isolation,Presenting grammatical rules through meaningful texts and real communicative situations rather than in isolation,Teaching grammar rules before vocabulary,Teaching grammar rules before vocabulary,3,"Teaching in context means embedding grammatical rules within meaningful, real-life texts or situations rather than teaching them as isolated, abstract concepts.","Teaching in context means embedding grammatical rules within meaningful, real-life texts or situations rather than teaching them as isolated, abstract concepts.",
English,The 'immersion' approach to language teaching primarily involves:,The 'immersion' approach to language teaching primarily involves:,Testing students weekly on grammar rules,Testing students weekly on grammar rules,Teaching only isolated vocabulary lists,Teaching only isolated vocabulary lists,Translating every sentence into the mother tongue,Translating every sentence into the mother tongue,Surrounding learners with the target language as the medium of instruction for various subjects,Surrounding learners with the target language as the medium of instruction for various subjects,4,Immersion uses the target language extensively as the medium of instruction for content learning.,Immersion uses the target language extensively as the medium of instruction for content learning.,
English,A teaching approach that begins with the 'form' (structure/rules) of language and gradually moves towards its 'use' (communication) is best associated with:,A teaching approach that begins with the 'form' (structure/rules) of language and gradually moves towards its 'use' (communication) is best associated with:,The Structural/Grammar-Translation approach,The Structural/Grammar-Translation approach,The Direct Method,The Direct Method,Total Physical Response,Total Physical Response,The Silent Way,The Silent Way,1,The Structural or Grammar-Translation approach traditionally focuses first on explicit grammatical forms and rules before applying them to communication.,The Structural or Grammar-Translation approach traditionally focuses first on explicit grammatical forms and rules before applying them to communication.,
English,"In reading pedagogy, the 'top-down' approach refers to:","In reading pedagogy, the 'top-down' approach refers to:",Reading a text from the last paragraph to the first,Reading a text from the last paragraph to the first,Using prior knowledge and context to predict and construct meaning from a text,Using prior knowledge and context to predict and construct meaning from a text,Focusing only on grammar while reading,Focusing only on grammar while reading,Decoding letters and words first before understanding meaning,Decoding letters and words first before understanding meaning,2,A top-down reading approach relies on the reader's background knowledge and contextual clues to grasp the overall meaning of a text before looking at individual words.,A top-down reading approach relies on the reader's background knowledge and contextual clues to grasp the overall meaning of a text before looking at individual words.,
English,The 'bottom-up' approach to reading emphasizes:,The 'bottom-up' approach to reading emphasizes:,Skimming for the main idea only,Skimming for the main idea only,Predicting meaning using background knowledge,Predicting meaning using background knowledge,Ignoring vocabulary and focusing on themes,Ignoring vocabulary and focusing on themes,"Decoding smaller units like letters, sounds, and words to build up to overall meaning","Decoding smaller units like letters, sounds, and words to build up to overall meaning",4,"The bottom-up approach to reading involves decoding language piece by piece, starting with letters and sounds, to eventually understand the whole text.","The bottom-up approach to reading involves decoding language piece by piece, starting with letters and sounds, to eventually understand the whole text.",
English,Which strategy would best help students develop listening comprehension for a lecture with unfamiliar vocabulary?,Which strategy would best help students develop listening comprehension for a lecture with unfamiliar vocabulary?,Teaching them to listen for key words and overall gist rather than every word,Teaching them to listen for key words and overall gist rather than every word,Asking them to write down every word they hear,Asking them to write down every word they hear,Stopping the lecture after every sentence for translation,Stopping the lecture after every sentence for translation,Avoiding listening activities until vocabulary is fully mastered,Avoiding listening activities until vocabulary is fully mastered,1,Teaching students to listen for the gist and key words helps them understand the overall message without getting stuck on unfamiliar vocabulary.,Teaching students to listen for the gist and key words helps them understand the overall message without getting stuck on unfamiliar vocabulary.,
English,A learner who consistently makes the same grammatical error despite repeated correction is said to have:,A learner who consistently makes the same grammatical error despite repeated correction is said to have:,Developed metalinguistic awareness,Developed metalinguistic awareness,Acquired native-like competence,Acquired native-like competence,Fossilized the error,Fossilized the error,Achieved communicative competence,Achieved communicative competence,3,"Fossilization refers to persistent, uncorrected errors that become fixed in a learner's interlanguage.","Fossilization refers to persistent, uncorrected errors that become fixed in a learner's interlanguage.",
