S.No.,Subject,Topic
1,General Awareness,"Indian Constitution, Polity, Governance and Delhi General Knowledge"
2,General Awareness,"Indian History, Freedom Movement and Important Historical Events"
3,General Awareness,"Indian Geography, Environment and Natural Resources"
4,General Awareness,"Science, Technology, Economy and Important Current Affairs"
5,Reasoning,"Analogy, Classification, Series and Coding-Decoding"
6,Reasoning,"Blood Relations, Direction Sense, Ranking and Logical Reasoning"
7,Numerical Ability,"Number System, Simplification, Percentage, Ratio and Average"
8,Numerical Ability,"Profit-Loss, Interest, Time-Work, Time-Distance and Data Interpretation"
9,Hindi,"हिंदी व्याकरण, शब्दावली, वाक्य शुद्धि और भाषा-बोध"
10,English,"English Grammar, Vocabulary, Error Detection and Reading Comprehension"
11,Special Education,"Foundations, Scope and Principles of Special Education"
12,Special Education,"Inclusive Education, Mainstreaming and Participation of Learners with Disabilities"
13,Special Education,"Child Development, Developmental Domains and Individual Differences"
14,Special Education,"Specific Learning Disability: Characteristics, Identification and Educational Support"
15,Special Education,"Intellectual Disability: Characteristics, Assessment and Educational Needs"
16,Special Education,"Autism Spectrum Disorder: Characteristics, Learning Needs and Intervention"
17,Special Education,Hearing Impairment: Communication and Educational Strategies
18,Special Education,"Visual Impairment: Braille, Orientation, Mobility and Educational Support"
19,Special Education,Locomotor Disability and Physical Accessibility in Schools
20,Special Education,Cerebral Palsy: Educational Characteristics and Support Strategies
21,Special Education,Multiple Disabilities: Needs and Educational Planning
22,Special Education,Speech and Language Disorders and Classroom Communication
23,Special Education,"Attention, Behavioural and Emotional Difficulties"
24,Special Education,"Early Identification, Screening and Early Intervention"
25,Special Education,"Assessment in Special Education: Screening, Diagnostic and Educational Assessment"
26,Special Education,Individualized Education Programme (IEP): Planning and Implementation
27,Special Education,"Accommodations, Modifications and Individualized Support"
28,Special Education,Differentiated Instruction for Diverse Learners
29,Special Education,Universal Design for Learning and Accessible Instruction
30,Special Education,"Curriculum Adaptation, Modification and Functional Curriculum"
31,Special Education,Assistive Technology and Accessible Digital Learning
32,Special Education,Augmentative and Alternative Communication (AAC)
33,Special Education,Behaviour Modification and Positive Behaviour Support
34,Special Education,Remedial Teaching and Evidence-Based Intervention
35,Special Education,"Teaching Reading, Writing and Numeracy to Learners with Disabilities"
36,Special Education,"Functional Academics, Life Skills and Independent Living Skills"
37,Special Education,"Barrier-Free Education, Accessibility and Reasonable Accommodation"
38,Special Education,"Family Collaboration, Counselling and Community Participation"
39,Special Education,Rights of Persons with Disabilities and Educational Entitlements
40,Special Education,"RCI Framework, Professional Roles and Ethical Practice"
41,Special Education,"Rehabilitation, Community-Based Support and Interdisciplinary Teamwork"
42,Special Education,"Transition Planning, Vocational Education and Career Support"
43,Special Education,"Lesson Planning, Teaching Strategies and Classroom Management"
44,Special Education,"Assessment Adaptations, Progress Monitoring and Competency-Based Evaluation"
45,Special Education,"Case Studies, Intervention Planning and Problem-Solving in Special Education"
