topic,question_en,question_hi,option1_en,option1_hi,option2_en,option2_hi,option3_en,option3_hi,option4_en,option4_hi,correct,explanation_en,explanation_hi,exam_type_year
CTET - Pedagogy,A teacher wants students to understand Bihar's cultural diversity through local examples. Which activity best promotes meaningful learning?,एक शिक्षक स्थानीय उदाहरणों के माध्यम से बिहार की सांस्कृतिक विविधता समझाना चाहता है। कौन-सी गतिविधि अर्थपूर्ण अधिगम को सबसे बेहतर बढ़ावा देगी?,Students compare Chhath traditions across families and discuss their observations,विद्यार्थी विभिन्न परिवारों में छठ की परंपराओं की तुलना करके अपने अवलोकनों पर चर्चा करें,Students memorize names of festivals,विद्यार्थी त्योहारों के नाम याद करें,Students recite a list of famous people,विद्यार्थी प्रसिद्ध व्यक्तियों की सूची सुनाएँ,Students copy a paragraph on Bihar,विद्यार्थी बिहार पर एक अनुच्छेद की नकल करें,1,Comparing lived cultural practices and discussing observations connects prior experience with new knowledge.,जीवन से जुड़ी सांस्कृतिक प्रथाओं की तुलना और अवलोकनों पर चर्चा पूर्व अनुभव को नए ज्ञान से जोड़ती है।,CTET2022
CTET - Pedagogy,"A child says, ""Madhubani painting is only decoration."" Which teacher response best develops higher-order thinking?","एक बच्चा कहता है, ""मधुबनी चित्रकला केवल सजावट है।"" कौन-सी शिक्षक-प्रतिक्रिया उच्च-स्तरीय चिंतन को सबसे बेहतर विकसित करेगी?",Ask the child to examine themes and symbols used in Madhubani painting,बच्चे से मधुबनी चित्रकला में प्रयुक्त विषयों और प्रतीकों का अध्ययन करने को कहना,Tell the child that the statement is wrong,बच्चे से कहना कि उसका कथन गलत है,Give the child a definition to copy,बच्चे को नकल करने के लिए परिभाषा देना,Ask the child to memorize its origin,बच्चे से इसका उद्गम याद करने को कहना,1,Examining themes and symbols requires analysis rather than simple recall.,विषयों और प्रतीकों का अध्ययन करना केवल स्मरण के बजाय विश्लेषण की मांग करता है।,
CTET - Pedagogy,Which classroom task best represents the constructivist approach while teaching the history of Champaran Satyagraha?,चंपारण सत्याग्रह का इतिहास पढ़ाते समय कौन-सा कक्षा कार्य रचनावादी दृष्टिकोण को सबसे बेहतर दर्शाता है?,Students investigate different accounts and construct a timeline,विद्यार्थी विभिन्न विवरणों की जाँच करके एक समयरेखा तैयार करें,Teacher dictates all important dates,शिक्षक सभी महत्वपूर्ण तिथियाँ लिखवाएँ,Students memorize Gandhi's name,विद्यार्थी गांधी का नाम याद करें,Students copy the textbook account,विद्यार्थी पाठ्यपुस्तक का विवरण नकल करें,1,Constructivism emphasizes learners actively constructing understanding through investigation and interpretation.,रचनावाद में विद्यार्थी जाँच और व्याख्या के माध्यम से सक्रिय रूप से अपनी समझ का निर्माण करते हैं।,
CTET - Pedagogy,"A teacher asks learners to locate Bodh Gaya, explain its historical significance, and relate it to Buddhism. Which Bloom level is most evident in the explanation task?","एक शिक्षक विद्यार्थियों से बोधगया का स्थान बताने, उसका ऐतिहासिक महत्व समझाने और उसे बौद्ध धर्म से जोड़ने को कहता है। व्याख्या वाले कार्य में Bloom का कौन-सा स्तर सबसे स्पष्ट है?",Remembering,स्मरण,Understanding,समझना,Evaluating,मूल्यांकन,Creating,सृजन,2,Explaining historical significance and connecting ideas primarily demonstrates understanding.,ऐतिहासिक महत्व समझाना और विचारों के बीच संबंध स्थापित करना मुख्यतः समझ के स्तर को दर्शाता है।,
CTET - Pedagogy,"During a lesson on Bihar's festivals, which practice is most inclusive for learners from different cultural backgrounds?",बिहार के त्योहारों पर पाठ के दौरान विभिन्न सांस्कृतिक पृष्ठभूमि वाले विद्यार्थियों के लिए कौन-सी पद्धति सबसे समावेशी है?,Exclude festival discussions from class,त्योहारों की चर्चा को कक्षा से बाहर रखना,Require every child to describe Chhath as a personal family practice,हर बच्चे से छठ को अपनी पारिवारिक परंपरा के रूप में बताने को कहना,Ask only children who celebrate the festival to participate,केवल त्योहार मनाने वाले बच्चों को भाग लेने देना,"Allow learners to share, observe, or research traditions without forcing personal disclosure","विद्यार्थियों को व्यक्तिगत जानकारी साझा करने के लिए बाध्य किए बिना परंपराएँ साझा करने, देखने या शोध करने देना",4,Inclusive teaching provides multiple ways to participate and respects learners who may not personally observe a tradition.,समावेशी शिक्षण भागीदारी के अनेक तरीके देता है और उन विद्यार्थियों का सम्मान करता है जो किसी परंपरा का व्यक्तिगत रूप से पालन नहीं करते।,
CTET - Pedagogy,Which pairing would provide the strongest local-context example for teaching the idea of folk art?,लोक कला की अवधारणा सिखाने के लिए कौन-सा युग्म स्थानीय संदर्भ का सबसे मजबूत उदाहरण देगा?,Kalamkari - Mithila region,कलमकारी - मिथिला क्षेत्र,Madhubani painting - Mithila region,मधुबनी चित्रकला - मिथिला क्षेत्र,Phad painting - Bhojpur region,फड़ चित्रकला - भोजपुर क्षेत्र,Pattachitra - Magadh region,पट्टचित्र - मगध क्षेत्र,2,Madhubani painting is closely associated with the Mithila region of Bihar.,मधुबनी चित्रकला बिहार के मिथिला क्षेत्र से निकटता से जुड़ी है।,
CTET - Pedagogy,Assertion (A): A teacher should connect Bihar's historical sites with learners' local experiences. Reason (R): Connecting new ideas with prior knowledge can support meaningful learning. Choose the correct answer.,अभिकथन (A): शिक्षक को बिहार के ऐतिहासिक स्थलों को विद्यार्थियों के स्थानीय अनुभवों से जोड़ना चाहिए। कारण (R): नए विचारों को पूर्व ज्ञान से जोड़ना अर्थपूर्ण अधिगम में सहायक हो सकता है। सही उत्तर चुनिए।,"A is false, but R is true","A असत्य है, लेकिन R सत्य है","Both A and R are true, and R correctly explains A","A और R दोनों सत्य हैं तथा R, A की सही व्याख्या करता है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","Both A and R are true, but R does not explain A","A और R दोनों सत्य हैं, लेकिन R, A की व्याख्या नहीं करता",2,"Prior knowledge provides a meaningful framework for interpreting new information, which supports the teaching decision in A.","पूर्व ज्ञान नई जानकारी को अर्थपूर्ण ढंग से समझने का आधार देता है, इसलिए यह A में दिए गए शिक्षण निर्णय का समर्थन करता है।",
CTET - Pedagogy,A teacher asks groups to match Bihar personalities with their contributions. Which set is correctly matched?,एक शिक्षक विद्यार्थियों के समूहों से बिहार की प्रमुख हस्तियों का उनके योगदान से मिलान करने को कहता है। कौन-सा समूह सही सुमेलित है?,Bhikhari Thakur - Madhubani painting,भिखारी ठाकुर - मधुबनी चित्रकला,Sher Shah Suri - Founder of Nalanda University,शेरशाह सूरी - नालंदा विश्वविद्यालय के संस्थापक,Vidyapati - Mauryan emperor,विद्यापति - मौर्य सम्राट,Rajendra Prasad - First President of India,राजेंद्र प्रसाद - भारत के प्रथम राष्ट्रपति,4,"Dr. Rajendra Prasad, who was from Bihar, became the first President of India.",बिहार के राजेंद्र प्रसाद भारत के प्रथम राष्ट्रपति बने।,
CTET - Pedagogy,Which classroom question would require students to apply historical knowledge rather than merely recall it?,कौन-सा कक्षा प्रश्न विद्यार्थियों से केवल तथ्य याद करने के बजाय ऐतिहासिक ज्ञान को लागू करने की अपेक्षा करेगा?,Who was Sher Shah Suri?,शेरशाह सूरी कौन थे?,How could a visit to Sher Shah Suri's tomb be used to infer features of medieval architecture?,शेरशाह सूरी के मकबरे की यात्रा से मध्यकालीन वास्तुकला की विशेषताओं का अनुमान कैसे लगाया जा सकता है?,Where was the tomb of Sher Shah Suri built?,शेरशाह सूरी का मकबरा कहाँ बनाया गया था?,In which state was Sasaram located?,सासाराम किस राज्य में स्थित था?,2,Using evidence from a site to infer architectural features requires applying knowledge to a context.,किसी स्थल के प्रमाण से वास्तुकला की विशेषताओं का अनुमान लगाना ज्ञान को संदर्भ में लागू करना है।,
CTET - Pedagogy,A teacher wants to assess whether students understand the cultural significance of Chhath rather than memorize its name. Which assessment is most suitable?,"एक शिक्षक यह आकलन करना चाहता है कि विद्यार्थी छठ के सांस्कृतिक महत्व को समझते हैं, केवल उसका नाम याद नहीं करते। कौन-सा आकलन सबसे उपयुक्त है?",Ask students to repeat the festival name five times,विद्यार्थियों से त्योहार का नाम पाँच बार दोहराने को कहना,Ask students to spell Chhath,विद्यार्थियों से Chhath की वर्तनी पूछना,Ask students to copy its definition,विद्यार्थियों से इसकी परिभाषा नकल करने को कहना,Ask students to explain practices associated with the festival and their social meaning,विद्यार्थियों से त्योहार से जुड़ी प्रथाओं और उनके सामाजिक अर्थ को समझाने को कहना,4,Explaining practices and social meaning directly assesses conceptual understanding.,प्रथाओं और सामाजिक अर्थ की व्याख्या करना अवधारणात्मक समझ का प्रत्यक्ष आकलन करता है।,
