topic,question_en,question_hi,option1_en,option1_hi,option2_en,option2_hi,option3_en,option3_hi,option4_en,option4_hi,correct,explanation_en,explanation_hi,exam_type_year
English,"According to Stephen Krashen, the natural, subconscious process of picking up a language through meaningful communication, similar to how children learn their mother tongue, is called:","According to Stephen Krashen, the natural, subconscious process of picking up a language through meaningful communication, similar to how children learn their mother tongue, is called:",Language Acquisition,Language Acquisition,Language Learning,Language Learning,Language Transfer,Language Transfer,Language Testing,Language Testing,0,"Krashen defined acquisition as a subconscious process of picking up language naturally, unlike conscious learning.","Krashen defined acquisition as a subconscious process of picking up language naturally, unlike conscious learning.",
English,Which of the following best describes 'language learning' as opposed to 'language acquisition'?,Which of the following best describes 'language learning' as opposed to 'language acquisition'?,A subconscious process occurring through natural exposure,A subconscious process occurring through natural exposure,A process that occurs only before puberty,A process that occurs only before puberty,A conscious process involving formal instruction in grammar rules,A conscious process involving formal instruction in grammar rules,An instinctive process common to all children,An instinctive process common to all children,2,"Language learning is a conscious process of studying rules, as opposed to the subconscious process of acquisition.","Language learning is a conscious process of studying rules, as opposed to the subconscious process of acquisition.",
English,Teaching grammar 'in context' means:,Teaching grammar 'in context' means:,Avoiding grammar teaching altogether,Avoiding grammar teaching altogether,Testing grammar only through multiple choice questions,Testing grammar only through multiple choice questions,Teaching grammar rules before vocabulary,Teaching grammar rules before vocabulary,Presenting grammatical rules through meaningful texts and real communicative situations rather than in isolation,Presenting grammatical rules through meaningful texts and real communicative situations rather than in isolation,3,Teaching grammar in context integrates rules with meaningful communication rather than isolated drills.,Teaching grammar in context integrates rules with meaningful communication rather than isolated drills.,
English,The 'immersion' approach to language teaching primarily involves:,The 'immersion' approach to language teaching primarily involves:,Surrounding learners with the target language as the medium of instruction for various subjects,Surrounding learners with the target language as the medium of instruction for various subjects,Testing students weekly on grammar rules,Testing students weekly on grammar rules,Teaching only isolated vocabulary lists,Teaching only isolated vocabulary lists,Translating every sentence into the mother tongue,Translating every sentence into the mother tongue,0,Immersion uses the target language extensively as the medium of instruction for content learning.,Immersion uses the target language extensively as the medium of instruction for content learning.,
English,A teaching approach that begins with the 'form' (structure/rules) of language and gradually moves towards its 'use' (communication) is best associated with:,A teaching approach that begins with the 'form' (structure/rules) of language and gradually moves towards its 'use' (communication) is best associated with:,The Silent Way,The Silent Way,The Direct Method,The Direct Method,Total Physical Response,Total Physical Response,The Structural/Grammar-Translation approach,The Structural/Grammar-Translation approach,3,"This form-to-use progression, starting with structures and later applying them communicatively, is characteristic of structural approaches.","This form-to-use progression, starting with structures and later applying them communicatively, is characteristic of structural approaches.",
English,"In reading pedagogy, the 'top-down' approach refers to:","In reading pedagogy, the 'top-down' approach refers to:",Reading a text from the last paragraph to the first,Reading a text from the last paragraph to the first,Using prior knowledge and context to predict and construct meaning from a text,Using prior knowledge and context to predict and construct meaning from a text,Focusing only on grammar while reading,Focusing only on grammar while reading,Decoding letters and words first before understanding meaning,Decoding letters and words first before understanding meaning,1,Top-down reading relies on background knowledge and context to construct meaning.,Top-down reading relies on background knowledge and context to construct meaning.,
English,The 'bottom-up' approach to reading emphasizes:,The 'bottom-up' approach to reading emphasizes:,Ignoring vocabulary and focusing on themes,Ignoring vocabulary and focusing on themes,Predicting meaning using background knowledge,Predicting meaning using background knowledge,Skimming for the main idea only,Skimming for the main idea only,"Decoding smaller units like letters, sounds, and words to build up to overall meaning","Decoding smaller units like letters, sounds, and words to build up to overall meaning",3,Bottom-up reading starts from decoding smaller linguistic units and builds up to overall comprehension.,Bottom-up reading starts from decoding smaller linguistic units and builds up to overall comprehension.,
English,Which strategy would best help students develop listening comprehension for a lecture with unfamiliar vocabulary?,Which strategy would best help students develop listening comprehension for a lecture with unfamiliar vocabulary?,Stopping the lecture after every sentence for translation,Stopping the lecture after every sentence for translation,Teaching them to listen for key words and overall gist rather than every word,Teaching them to listen for key words and overall gist rather than every word,Asking them to write down every word they hear,Asking them to write down every word they hear,Avoiding listening activities until vocabulary is fully mastered,Avoiding listening activities until vocabulary is fully mastered,1,Listening for gist and key words helps learners cope with unfamiliar vocabulary without losing overall meaning.,Listening for gist and key words helps learners cope with unfamiliar vocabulary without losing overall meaning.,
English,A learner who consistently makes the same grammatical error despite repeated correction is said to have:,A learner who consistently makes the same grammatical error despite repeated correction is said to have:,Fossilized the error,Fossilized the error,Achieved communicative competence,Achieved communicative competence,Developed metalinguistic awareness,Developed metalinguistic awareness,Acquired native-like competence,Acquired native-like competence,0,"Fossilization refers to persistent, uncorrected errors that become fixed in a learner's interlanguage.","Fossilization refers to persistent, uncorrected errors that become fixed in a learner's interlanguage.",
English,The 'process approach' to teaching writing focuses on:,The 'process approach' to teaching writing focuses on:,Writing one draft without any revision,Writing one draft without any revision,Memorizing model essays and reproducing them exactly,Memorizing model essays and reproducing them exactly,"Stages like drafting, revising, and editing rather than only the final product","Stages like drafting, revising, and editing rather than only the final product",Testing spelling and punctuation only,Testing spelling and punctuation only,2,"The process approach emphasizes stages of writing such as planning, drafting, revising, and editing.","The process approach emphasizes stages of writing such as planning, drafting, revising, and editing.",
