S.No.,Subject,Topic
1,General Awareness,"Indian Constitution, Polity, Governance and Delhi General Knowledge"
2,General Awareness,"Indian History, Freedom Movement and Important Historical Events"
3,General Awareness,"Indian Geography, Environment and Natural Resources"
4,General Awareness,"Science, Technology, Economy and Important Current Affairs"
5,Reasoning,"Analogy, Classification, Series and Coding-Decoding"
6,Reasoning,"Blood Relations, Direction Sense, Ranking and Logical Reasoning"
7,Numerical Ability,"Number System, Simplification, Percentage, Ratio and Average"
8,Numerical Ability,"Profit-Loss, Interest, Time-Work, Time-Distance and Data Interpretation"
9,Hindi,"हिंदी व्याकरण, शब्दावली, वाक्य शुद्धि और भाषा-बोध"
10,English,"English Grammar, Vocabulary, Error Detection and Reading Comprehension"
11,Computer Science,"Computer Fundamentals: Hardware, Software and Computer Applications"
12,Computer Science,"Number Systems, Binary Arithmetic and Data Representation"
13,Computer Science,Boolean Algebra and Logic Gates
14,Computer Science,"Computer Organization: CPU, Registers, Memory and Input-Output"
15,Computer Science,"Operating Systems: Functions, Processes, Memory and File Management"
16,Computer Science,"Process Scheduling, Synchronization and Deadlocks"
17,Computer Science,"Data Structures: Arrays, Linked Lists, Stacks and Queues"
18,Computer Science,"Trees, Heaps and Tree Traversal"
19,Computer Science,Graphs and Graph Traversal Algorithms
20,Computer Science,"Searching, Sorting and Algorithm Complexity"
21,Computer Science,"Programming Fundamentals: Variables, Operators and Control Structures"
22,Computer Science,"Functions, Arrays, Strings and Recursion"
23,Computer Science,"Object-Oriented Programming: Classes, Objects, Encapsulation and Abstraction"
24,Computer Science,"Inheritance, Polymorphism and Object-Oriented Design"
25,Computer Science,"Database Management Systems: Tables, Keys and Relationships"
26,Computer Science,"SQL: Queries, Joins, Functions and Constraints"
27,Computer Science,"Normalization, Transactions and Database Security"
28,Computer Science,"Computer Networks: Devices, Topologies and Transmission Media"
29,Computer Science,OSI and TCP/IP Models with Network Protocols
30,Computer Science,"IP Addressing, Routing, DNS and Internet Services"
31,Computer Science,Data Communication and Transmission Techniques
32,Computer Science,"Cyber Security: Threats, Malware, Authentication and Encryption"
33,Computer Science,"HTML, CSS, JavaScript and Web Technology Basics"
34,Computer Science,"Software Engineering, SDLC and Software Development Models"
35,Computer Science,"Software Testing, Debugging, Verification and Validation"
36,Computer Science,"Compiler Basics, Parsing and Language Processing"
37,Computer Science,"Discrete Mathematics: Sets, Relations, Functions and Logic"
38,Computer Science,Artificial Intelligence and Machine Learning Fundamentals
39,Computer Science,"Cloud Computing, Virtualization and Emerging Technologies"
40,Computer Science,Computer Graphics and Basic Transformations
41,Computer Science,"Algorithms, Flowcharts and Pseudocode for Problem Solving"
42,Computer Science,Computer Science Teaching Methodology and Computational Thinking
43,Computer Science,"Teaching Programming, Practical Work and Project-Based Learning"
44,Computer Science,"ICT Integration, Assessment and Competency-Based Computer Science Learning"
