topic,question_en,question_hi,option1_en,option1_hi,option2_en,option2_hi,option3_en,option3_hi,option4_en,option4_hi,correct,explanation_en,explanation_hi,exam_type_year
English,Choose the correct sentence:,Choose the correct sentence:,She had lived here since five years.,She had lived here since five years.,She has been living here for five years.,She has been living here for five years.,She has been living here since five years.,She has been living here since five years.,She is living here since five years.,She is living here since five years.,2,"The preposition 'for' is used with a period of time, while 'since' is used with a point of time.","The preposition 'for' is used with a period of time, while 'since' is used with a point of time.",
English,Choose the correct passive form of: 'The teacher praised the student.',Choose the correct passive form of: 'The teacher praised the student.',The student had been praised by the teacher.,The student had been praised by the teacher.,The student is praised by the teacher.,The student is praised by the teacher.,The student has been praised by the teacher.,The student has been praised by the teacher.,The student was praised by the teacher.,The student was praised by the teacher.,4,"The active sentence is in the simple past, so the passive form uses 'was + past participle': 'was praised'.","The active sentence is in the simple past, so the passive form uses 'was + past participle': 'was praised'.",
English,"Change into indirect speech: Ravi said, 'I am tired.'","Change into indirect speech: Ravi said, 'I am tired.'",Ravi said that he is tired.,Ravi said that he is tired.,Ravi said that he was tired.,Ravi said that he was tired.,Ravi said that he had tired.,Ravi said that he had tired.,Ravi said that I am tired.,Ravi said that I am tired.,2,"In reported speech, 'I' changes to 'he' and present continuous becomes past continuous after a past reporting verb.","In reported speech, 'I' changes to 'he' and present continuous becomes past continuous after a past reporting verb.",
English,Choose the correct articles: 'He is ___ honest man and ___ useful employee.',Choose the correct articles: 'He is ___ honest man and ___ useful employee.',"a, a","a, a","an, a","an, a","a, an","a, an","an, an","an, an",2,"'Honest' begins with a vowel sound, so it takes 'an'; 'useful' begins with the consonant sound /ju:/, so it takes 'a'.","'Honest' begins with a vowel sound, so it takes 'an'; 'useful' begins with the consonant sound /ju:/, so it takes 'a'.",
English,Choose the correct preposition: 'She is good ___ mathematics.',Choose the correct preposition: 'She is good ___ mathematics.',on,on,at,at,with,with,in,in,2,The standard collocation is 'good at' when referring to ability or skill in a subject.,The standard collocation is 'good at' when referring to ability or skill in a subject.,
English,Choose the word that is closest in meaning to 'Abundant'.,Choose the word that is closest in meaning to 'Abundant'.,Scarce,Scarce,Plentiful,Plentiful,Limited,Limited,Rare,Rare,2,"'Abundant' means available in large quantities, so 'plentiful' is the closest synonym.","'Abundant' means available in large quantities, so 'plentiful' is the closest synonym.",
English,Choose the word opposite in meaning to 'Transparent'.,Choose the word opposite in meaning to 'Transparent'.,Visible,Visible,Bright,Bright,Opaque,Opaque,Clear,Clear,3,"'Opaque' describes something that does not allow light to pass through, making it the opposite of 'transparent'.","'Opaque' describes something that does not allow light to pass through, making it the opposite of 'transparent'.",
English,Choose the one-word substitution for 'A person who cannot read or write'.,Choose the one-word substitution for 'A person who cannot read or write'.,Orator,Orator,Immigrant,Immigrant,Scholar,Scholar,Illiterate,Illiterate,4,A person who cannot read or write is described as 'illiterate'.,A person who cannot read or write is described as 'illiterate'.,
English,What does the idiom 'spill the beans' mean?,What does the idiom 'spill the beans' mean?,To reveal a secret,To reveal a secret,To become angry,To become angry,To waste food,To waste food,To make a mistake,To make a mistake,1,The idiom 'spill the beans' means to disclose or reveal secret information.,The idiom 'spill the beans' means to disclose or reveal secret information.,
English,"Read the passage and answer the question. 'Trees are essential for a healthy environment. They absorb carbon dioxide and release oxygen. Their roots also help prevent soil erosion. Therefore, protecting trees is important for both people and nature.' What is the main idea of the passage?","Read the passage and answer the question. 'Trees are essential for a healthy environment. They absorb carbon dioxide and release oxygen. Their roots also help prevent soil erosion. Therefore, protecting trees is important for both people and nature.' What is the main idea of the passage?",Trees grow only in forests.,Trees grow only in forests.,Trees mainly prevent floods.,Trees mainly prevent floods.,Trees provide important environmental benefits and should be protected.,Trees provide important environmental benefits and should be protected.,People should plant trees only for oxygen.,People should plant trees only for oxygen.,3,The passage highlights several environmental benefits of trees and concludes that they should be protected.,The passage highlights several environmental benefits of trees and concludes that they should be protected.,
